literal	components	onyomi	component_only_set	phono_component_sets	largest_phonetic_set_size	reliability_rating
奸	['十', '女', '干']	['カン']	[]	[]	0	0
抜	['又', '友', '扌']	['バツ', 'ハツ', 'ハイ']	[]	[]	0	0
罩	['卜', '卓', '早', '罒', '日', '十']	['トウ']	[]	[]	0	0
稾	['禾', '木', '亠', '丿', '口', '冋', '高', '冂']	['コウ']	[]	[]	0	0
頤	['八', '頁', '匚', '目', '貝']	['イ']	[]	[]	0	0
溯	['朔', '凵', '屰', '丿', '屮', '氵', '月']	['ソ', 'サク']	[]	[]	0	0
謨	['日', '言', '大', '口', '艹', '莫']	['ボ', 'モ']	[]	[]	0	0
講	['三', '一', '冉', '冓', '土', '言', '口', '再', '冂']	['コウ']	[]	[]	0	0
頰	['八', '頁', '从', '夾', '大', '人', '目', '貝']	['キョウ']	[]	[]	0	0
羶	['一', '㐭', '羊', '亠', '日', '口', '回', '旦', '亶', '囗', '䒑']	['セン']	[]	[]	0	0
欅	['八', '木', '與', '手', '擧', '𦥑']	['キョ']	[]	[]	0	0
齋	['小', '亠', '刀', '二', '齊']	['サイ']	[]	[]	0	0
投	['殳', '丿', '又', '扌', '几']	['トウ']	[]	[]	0	0
芋	['二', '艹', '于', '亅']	['ウ']	[]	[]	0	0
竸	['八', '音', '亠', '日', '丿', '立', '竟', '儿']	['キョウ', 'ケイ']	[]	[]	0	0
罕	['八', '罒', '干', '十', '丿', '冖', '儿']	['カン']	[]	[]	0	0
奄	['日', '大', '电']	['エン']	['庵', '菴']	[['罨', '閹', '俺', '掩', '淹']]	5	0.714
妾	['亠', '立', '女']	['ショウ']	[]	[['椄', '霎', '接']]	3	1.0
領	['一', '八', '頁', '令', '人', '目', '貝', '卩']	['リョウ']	[]	[['嶺']]	1	1.0
謀	['木', '甘', '言', '某', '十', '口', '廿']	['ボウ', 'ム']	[]	[]	0	0
謔	['一', '言', '口', '七', '虍', '虐']	['ギャク', 'キャク']	[]	[]	0	0
躬	['身', '弓']	['キョウ', 'キュウ']	[]	[['窮'], ['窮']]	1	1.0
欹	['欠', '一', '丁', '大', '亅', '口', '可', '奇']	['イ', 'キ']	[]	[]	0	0
奐	['丿', '大', '𠂊', '儿', '冂']	['カン']	[]	[['換', '煥', '渙', '喚']]	4	1.0
垈	['丶', '土', '代', '亻', '弋']	['タイ', 'ダイ']	[]	[]	0	0
湮	['垔', '土', '覀', '氵']	['イン', 'エン']	[]	[]	0	0
齟	['一', '卜', '从', '凵', '且', '人', '止', '齒', '月']	['ソ', 'サ', 'ショ']	[]	[]	0	0
芟	['殳', '丿', '又', '艹', '几']	['セン', 'サン']	[]	[]	0	0
竟	['八', '音', '亠', '日', '丿', '立', '儿']	['キョウ', 'ケイ']	[]	[['竸', '境', '鏡'], ['竸', '境', '鏡']]	3	1.0
蹲	['一', '八', '尊', '西', '口', '酋', '寸', '足', '酉']	['ソン', 'シュン']	[]	[]	0	0
艇	['舟', '壬', '丿', '廷', '廴', '士']	['テイ']	[]	[]	0	0
躙	['隹', '亻', '門', '口', '足']	['リン']	[]	[]	0	0
旧	['日', '丨']	['キュウ']	['稲', '焔', '陥', '児']	[]	0	0
酬	['一', '丶', '川', '西', '州', '酉']	['シュウ', 'シュ', 'トウ']	[]	[]	0	0
妊	['士', '丿', '壬', '女']	['ニン', 'ジン']	[]	[]	0	0
